# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56045.01893312	-0.18353155	0.998800	0.000043	1.020541	0.000044	0.997134	0.000043
56045.03936756	-0.17629010	0.998573	0.000043	1.020309	0.000044	0.996909	0.000043
56045.05980210	-0.16904863	0.998592	0.000043	1.020329	0.000044	0.996929	0.000043
56045.08023674	-0.16180712	0.998583	0.000043	1.020318	0.000044	0.996922	0.000043
56045.10067128	-0.15456564	0.998590	0.000043	1.020324	0.000044	0.996930	0.000043
56045.12110583	-0.14732416	0.998728	0.000043	1.020465	0.000044	0.997070	0.000043
56045.14154037	-0.14008268	0.998879	0.000043	1.020622	0.000044	0.997222	0.000043
56045.16197491	-0.13284121	0.999025	0.000043	1.020774	0.000044	0.997369	0.000043
56045.18240945	-0.12559973	0.999377	0.000043	1.021137	0.000044	0.997722	0.000043
56045.20284399	-0.11835825	0.999696	0.000043	1.021468	0.000044	0.998042	0.000043
56045.22327854	-0.11111677	0.999953	0.000043	1.021733	0.000044	0.998300	0.000043
56045.24371318	-0.10387526	1.000405	0.000043	1.022199	0.000044	0.998753	0.000043
56045.26414762	-0.09663382	1.000827	0.000043	1.022635	0.000044	0.999176	0.000043
56045.28458216	-0.08939234	1.001272	0.000043	1.023095	0.000044	0.999622	0.000043
56045.30501681	-0.08215083	1.001741	0.000043	1.023580	0.000044	1.000092	0.000043
56045.32545125	-0.07490939	1.002276	0.000043	1.024132	0.000044	1.000627	0.000043
56045.34588589	-0.06766787	1.002679	0.000043	1.024547	0.000044	1.001031	0.000043
56045.36632044	-0.06042639	1.003055	0.000043	1.024934	0.000044	1.001408	0.000043
56045.38675488	-0.05318495	1.003357	0.000043	1.025244	0.000044	1.001711	0.000043
56045.40718952	-0.04594344	1.003667	0.000043	1.025563	0.000044	1.002023	0.000043
56045.42762407	-0.03870196	1.003851	0.000043	1.025753	0.000044	1.002208	0.000043
56045.44805851	-0.03146052	1.003964	0.000043	1.025869	0.000044	1.002322	0.000043
56045.46849315	-0.02421901	1.004098	0.000043	1.026008	0.000044	1.002458	0.000043
56045.48892770	-0.01697753	1.004078	0.000043	1.025986	0.000044	1.002439	0.000043
56045.50936224	-0.00973605	1.003969	0.000043	1.025872	0.000044	1.002332	0.000043
56045.52979679	-0.00249457	1.003914	0.000043	1.025814	0.000044	1.002279	0.000043
56045.55023123	0.00474687	1.003701	0.000043	1.025593	0.000044	1.002068	0.000043
56045.57066587	0.01198838	1.003601	0.000043	1.025489	0.000044	1.001970	0.000043
56045.59110042	0.01922986	1.003197	0.000043	1.025072	0.000044	1.001568	0.000043
56045.61153486	0.02647131	1.003014	0.000043	1.024882	0.000044	1.001387	0.000043
56045.63196951	0.03371282	1.002731	0.000043	1.024589	0.000044	1.001106	0.000043
56045.65240405	0.04095430	1.002480	0.000043	1.024328	0.000044	1.000857	0.000043
56045.67283860	0.04819578	1.002194	0.000043	1.024033	0.000044	1.000573	0.000043
56045.69327314	0.05543725	1.001894	0.000043	1.023726	0.000044	1.000275	0.000043
56045.71370769	0.06267873	1.001643	0.000043	1.023471	0.000044	1.000026	0.000043
56045.73414233	0.06992025	1.001401	0.000043	1.023227	0.000044	0.999786	0.000043
56045.75457678	0.07716169	1.001138	0.000043	1.022958	0.000044	0.999525	0.000043
56045.77501132	0.08440317	1.000857	0.000043	1.022669	0.000044	0.999246	0.000043
56045.79544597	0.09164468	1.000610	0.000043	1.022412	0.000044	0.999001	0.000043
56045.81588052	0.09888616	1.000456	0.000043	1.022250	0.000044	0.998849	0.000043
